dataset,split,class,media_type,extension,relative_path,note
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0514_jpg.rf.e693ecc78e5eecc23340358125d172da.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0525_2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0605.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0649_2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0715.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0739_jpg.rf.be8d5604dd979bd44fbb867eadc5c37e.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0739_jpg.rf.f822acfbaa2fe6750a619a1f1debe080.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0770_jpg.rf.46fe342a9c123028e43bd282acbfa292.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0773_jpg.rf.6d076a943dfa8dd88738276d4ec4ce49.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0789_jpg.rf.1584e11b747bacc1a1c5180783ad359b.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0793.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0826.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0891.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0903.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0913_jpg.rf.0376b55621e8818df52958294a176a59.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0921_2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_0964_jpg.rf.bccf76a838a7499540a8d08e3a02a8bd.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1054_jpg.rf.5e8b3914591fccb19e3f07f2d1502383.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1054_jpg.rf.f0ca2a31b2f7e62b790128a950792ab3.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1100.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1102_jpg.rf.e650fcf6c199b31e12a41a2be3577396.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1135.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1196_jpg.rf.ce851de405ccadfc42aa5c302a7084b8.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1223_jpg.rf.e6886fd69761b49db3aca22faa94f93e.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1265_jpg.rf.3b323bfb50d99d99e50cc690ebf2efbc.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1276.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1280_jpg.rf.90e151e0543e833c40036ca21ed0afef.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1390_jpg.rf.165cde24f49ee2358a54027dc39ea11e.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1500.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1562.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1572.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1744_jpg.rf.d3bcd6ae16e21555577f37725d64a3b5.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1773_jpg.rf.a19cbc9205f98438c3e6f5ff06f5b471.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1780.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1849.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1869_jpg.rf.1a558d5828527cbcd82c10b2b2d35d15.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1884_jpg.rf.464e4aab160025714607228004e2ced6.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1996.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_1997_jpg.rf.79b43f41f8bdaf60a46be20164d020bd.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2022.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2108.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2154.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2229.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2407_jpg.rf.7c394ab93ca522f2fa819229ff9888f7.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2491.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2573.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2575.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2577.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2607_jpg.rf.8dc61d2f1107d2d8b0a5f0d6ad621204.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2617.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2639_jpg.rf.32ff67e88c44492fca219f4bf8ec26b6.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2643_jpg.rf.f613db69121acd523db3248245bb0c38.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2672.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2705.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2725.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2757.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2776.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2781.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2799_jpg.rf.8cbc00706f00026f345d60bdc0c439f8.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2848.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2936.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_2982_jpg.rf.58563c77da659d1f42e2f1a1d5d1e630.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_3025.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_3089.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_3147.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_3207_jpg.rf.73550d6ecf9e55f0500f062670ec5c49.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_3540.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_3586_jpg.rf.d0c2764027d3d951c15ff94f1807bdd9.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_3633.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_3842_jpg.rf.b519c996950ac3fd5844f470e89ace46.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_4278_jpg.rf.3930f5eb33ce2f91553d614a3b7d60af.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_4306_jpg.rf.451d79ea62a9b98c7ecc0155d841b5ef.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_4943.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,A,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\A\frame_5691_jpg.rf.95708b49b61b3fe91551426e11f2218b.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0174_jpg.rf.70384b16b91c79f183f5bf5950832f19.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0178-2-_jpg.rf.4b0a09d166495f291f18aaf1021a2f05.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0178_jpg.rf.5d6b2f24fd0f21459ed9fc332822f975.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0178_jpg.rf.a5f8c45d48a2c889de0479148df6c6f3.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0182_jpg.rf.41f143f1e680ad6aecd7d5e66635b8d9.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0182_jpg.rf.8d2dbeca0657db70cbbbcadf88dfcc05.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0182_jpg.rf.af5f239845bb5a37e1a00ebee53e2691.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0206_jpg.rf.e0c7dc7085fee6889bb5b23a5b81e24b.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0206_jpg.rf.ff87dc7de097988c49eda7370cdf6197.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0214_jpg.rf.3385dcf64493e2055729edc71cb8331a.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0214_jpg.rf.fa9e167eae2e002118ceda7a26d0f388.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0324_jpg.rf.273abd54009d47c52db4ca4de07ffd27.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0368_jpg.rf.8e5b29c56abae4edd384a0a47d26a55e.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0383_jpg.rf.e4d6dd227f5da986dfe92be7fec51538.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0488_jpg.rf.655c6bc520a8dd2190c3d59f01bbecda.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0646_jpg.rf.dabbf222f410b18efd485dde0687558f.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0656_jpg.rf.88a493994b871ef310b08a7868bb1a20.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0658_jpg.rf.351db770146351b85887347661689137.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0660_jpg.rf.654300a1f174e60ed13bf1a84b1ca331.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0662_jpg.rf.32fd807cc640124c91d4574bcf3b316a.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0694_jpg.rf.c7ef2ff205332b0326a45bf50005fba7.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0710-2-_jpg.rf.fc943c1b8b351f0bc1b77b0e35f56b27.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0710_jpg.rf.7ddf56322c315221847f88570e7f8070.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0730_jpg.rf.c5ca13a4ae79fcdb7fe9044f5d8820a6.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0754_jpg.rf.9b6ebde3357dc7797c3c49bcc128616d.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0762_jpg.rf.cab3c81ca0737a5d46cc922c7cb91a12.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0802_jpg.rf.b7bff24be26e129995c8072c5ada9150.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0874_jpg.rf.f497da8cda2ec1fa28f565cd3d8c5dec.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0948_jpg.rf.6de76abf9b3a74d3b24540174172d195.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_0987_jpg.rf.861a09bc999fcadd7fa9616ecea27e57.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1018_jpg.rf.f3b5d5729374576957105c17170de6e2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1021_jpg.rf.7bd1ad418fa2421f91dba3a55779171d.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1030_jpg.rf.ab9a46b4245b90e54f6595865fb90cca.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1102-2-_jpg.rf.d74e30380a9ee634340bf61e17be1508.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1110_jpg.rf.3178a03d180748ad9b796aec13f2c5eb.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1110_jpg.rf.9d142c4586d9da24ab1f868daf0fc21c.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1111_jpg.rf.cb145f32e66d0b1e792a7771e55050f6.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1112_jpg.rf.7b0513ca2e7d77618294dec8ec525ed8.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1113_jpg.rf.39312eb8d380dea4498208b1f55087d5.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1117_jpg.rf.7ec78d50ca81b0ebfc9ae03d5f4d2bc6.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1118_jpg.rf.54c9edeca16964ad687bb187afe30c90.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1121_jpg.rf.5e6718134343f850a371931035082c59.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1126_jpg.rf.a91c0dd75a3086cc3de4a6816fef1fd9.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1128_jpg.rf.5ff26711f128d675e8411f090200167b.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1130_jpg.rf.1675c738180b47001928c8ecab76c2af.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1133_jpg.rf.fbca69eca1a46c9ed589a39e126ad15b.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1134_jpg.rf.b8f0a9eace840dff7499e33c68d9c124.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1137_jpg.rf.834d7d4ac23cfa36009ddb92aff15e25.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1162_jpg.rf.f1d21537f1aebac514d6a8b31b47e10d.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1181_jpg.rf.dda66f882a9796ee5057ea08367dc57d.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1198_jpg.rf.8ea8d21c7a1ae94800f6ddce83194762.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1214_jpg.rf.5ed76b80a5462c2987b5e948721ed194.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1216_jpg.rf.6e48d72d63ebd01e5d24e7ae7fc264b2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1285_jpg.rf.31cd31b4aaa2db467c628e0b9a626741.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1309_jpg.rf.bdb71146b8717c6482ca0fb8f4c0d7a2.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1315_jpg.rf.f57c3b90091bb813fe72874f6c9edb7f.jpg,
A Multimodal BISINDO Corpus Annotated Images and V,Test,B,Image,.jpg,A Multimodal BISINDO Corpus Annotated Images and V\Test\B\frame_1330_jpg.rf.34080b124308d78c42a15df13775567e.jpg,
